행정구역,총인구수,구역코드
서울특별시,9443722,1100000000
종로구 ,141861,1111000000
중구 ,120648,1114000000
용산구 ,219102,1117000000
성동구 ,281694,1120000000
광진구 ,337900,1121500000
동대문구 ,337273,1123000000
중랑구 ,385976,1126000000
성북구 ,431581,1129000000
강북구 ,294429,1130500000
도봉구 ,312427,1132000000
노원구 ,505058,1135000000
은평구 ,468988,1138000000
서대문구 ,305113,1141000000
마포구 ,364698,1144000000
양천구 ,441749,1147000000
강서구 ,570011,1150000000
구로구 ,394212,1153000000
금천구 ,230156,1154500000
영등포구 ,375849,1156000000
동작구 ,382747,1159000000
관악구 ,487201,1162000000
서초구 ,404902,1165000000
강남구 ,529946,1168000000
송파구 ,659788,1171000000
강동구 ,460413,1174000000
