역명,승차총승객수,하차총승객수
4.19민주묘지,28082,27022
가능,48395,46177
가락시장,111685,116869
가산디지털단지,384069,402920
가양,146923,141822
가오리,30027,29113
가좌,41339,39064
가천대,80603,86606
가평,15272,15256
간석,41645,39016
갈매,20809,17864
강남,536964,520814
강남구청,172063,195170
강동,124421,119409
강동구청,69356,70373
강매,22703,19853
강변,225930,216128
강일,33725,31619
강촌,4743,4473
개롱,44408,45974
개봉,151545,145523
개포동,27591,28183
개화,18340,13168
개화산,37958,36224
거여,69616,66017
건대입구,347365,371445
검암,46345,45952
경기광주,57044,52973
경마공원,44040,44735
경복궁,180059,188664
경찰병원,48345,48022
계양,80958,74147
고덕,66157,65182
고려대,64379,62899
고색,32274,30365
고속터미널,567646,564053
고잔,66342,63499
곡산,4371,4500
곤지암,17166,16946
공덕,260898,265454
공릉,86779,86072
공항시장,20445,22071
공항화물청사,14649,15589
과천,45600,42195
관악,54427,51197
관악산,24269,25315
광나루,100353,93027
광명,26603,22194
광명사거리,146584,144644
광운대,60406,58864
광화문,220403,228487
광흥창,62148,59089
교대,322888,318966
구로,127989,130003
구로디지털단지,389130,386127
구룡,16501,15517
구리,96961,97735
구반포,8472,8775
구산,54187,40155
구성,35661,37300
구의,160601,155749
구일,69413,71916
구파발,146482,143709
국수,6002,5745
국회의사당,106202,110063
군자,181199,166135
군포,50047,48328
굴봉산,1370,1304
굴포천,1,0
굽은다리,65501,61784
금곡,11163,10865
금릉,36009,34547
금정,192198,194792
금천구청,82649,81612
금촌,47597,47011
금호,54902,50462
기흥,76615,72393
길동,54594,56210
길음,151845,152538
김유정,3237,3640
김포공항,186451,178736
까치산,197522,185852
까치울,1,0
낙성대,194274,188738
남구로,101376,105768
남동인더스파크,13846,15155
남부터미널,199795,202162
남성,78870,73239
남영,68012,72476
남위례,40789,41819
남춘천,22318,22831
남태령,9523,7372
남한산성입구,102305,92762
내방,96654,98317
노들,34517,29212
노량진,249989,247103
노원,267291,292862
녹번,108306,96862
녹사평,39421,41401
녹양,34750,32577
녹천,33074,27130
논현,120654,126887
능곡,27806,25500
단대오거리,75009,71307
달월,759,607
답십리,108864,98333
당고개,64851,58091
당곡,26266,24795
당산,258596,281266
당정,47510,44915
대곡,15796,12437
대공원,40293,41495
대림,225500,229199
