역번호,역명,역위도,역경도,역사도로명주소,행정구역
A01,서울,37.5491178426,126.9704642516,서울특별시 용산구 청파로 378,용산구
A02,공덕,37.5428405531,126.9513300741,서울특별시 마포구 마포대로 92,마포구
A03,홍대입구,37.5577410279,126.9264939191,서울특별시 마포구 양화로 188,마포구
A04,디지털미디어시티,37.5768254356,126.8990205237,서울특별시 마포구 성암로 184,마포구
A042,마곡나루,37.5658191364,126.8276357848,서울특별시 강서구 마곡중앙로 지하 135(마곡동),강서구
A05,김포공항,37.5621165172,126.8015442481,서울특별시 강서구 하늘길 77,강서구
S110,북한산우이,,,서울특별시 강북구 삼양로 지하 676,강북구
S111,솔밭공원,,,서울특별시 강북구 삼양로 595,강북구
S112,4.19민주묘지,,,서울특별시 강북구 삼양로 519,강북구
S113,가오리,,,서울특별시 강북구 삼양로 426,강북구
S114,화계,,,서울특별시 강북구 삼양로 341,강북구
S115,삼양,,,서울특별시 강북구 삼양로 지하 259,강북구
S116,삼양사거리,,,서울특별시 강북구 삼양로 197,강북구
S117,솔샘,,,서울특별시 강북구 솔샘로 지하 189,강북구
S118,북한산보국문,,,서울특별시 성북구 보국문로 지하 88,성북구
S119,정릉,,,서울특별시 성북구 아리랑로 지하 112,성북구
S120,성신여대입구,,,서울특별시 성북구 동선동1가 116-1,성북구
S121,보문,,,서울특별시 성북구 보문동1가 127-6,성북구
S122,신설동,,,서울특별시 동대문구 신설동 132-259,동대문구
D004,신사,127.02,37.5159,서울특별시 강남구 도산대로 지하 102,강남구
D005,논현,127.0213,37.5111,서울특별시 강남구 학동로 지하 102,강남구
D006,신논현,127.0245,37.5044,서울특별시 강남구 봉은사로 지하 102,강남구
D007,강남,127.0278789,37.49738544,서울특별시 강남구 강남대로 지하 396,강남구
D008,양재(서초구청),127.0340995,37.48445352,서울시 서초구 남부순환로 지하 2585,서초구
D009,양재시민의숲(매헌),127.0384203,37.47096388,서울특별시 서초구 매헌로 지하 116,서초구
D010,청계산입구,127.0543396,37.44871485,서울특별시 서초구 청계산로 지하 179,서초구
