역번호,역명,역위도,역경도,역사도로명주소,행정구역,승차총승객수,하차총승객수
A02,공덕,37.5428405531,126.9513300741,서울특별시 마포구 마포대로 92,마포구,260898,265454
A03,홍대입구,37.5577410279,126.9264939191,서울특별시 마포구 양화로 188,마포구,541944,581567
A04,디지털미디어시티,37.5768254356,126.8990205237,서울특별시 마포구 성암로 184,마포구,210985,211200
A042,마곡나루,37.5658191364,126.8276357848,서울특별시 강서구 마곡중앙로 지하 135(마곡동),강서구,146468,143058
A05,김포공항,37.5621165172,126.8015442481,서울특별시 강서구 하늘길 77,강서구,186451,178736
S110,북한산우이,,,서울특별시 강북구 삼양로 지하 676,강북구,23908,22731
S111,솔밭공원,,,서울특별시 강북구 삼양로 595,강북구,17796,17009
S112,4.19민주묘지,,,서울특별시 강북구 삼양로 519,강북구,28082,27022
S113,가오리,,,서울특별시 강북구 삼양로 426,강북구,30027,29113
S114,화계,,,서울특별시 강북구 삼양로 341,강북구,24835,22920
S115,삼양,,,서울특별시 강북구 삼양로 지하 259,강북구,14181,14862
S116,삼양사거리,,,서울특별시 강북구 삼양로 197,강북구,17948,17740
S117,솔샘,,,서울특별시 강북구 솔샘로 지하 189,강북구,40495,37569
S118,북한산보국문,,,서울특별시 성북구 보국문로 지하 88,성북구,45944,42617
S119,정릉,,,서울특별시 성북구 아리랑로 지하 112,성북구,35003,30921
S120,성신여대입구,,,서울특별시 성북구 동선동1가 116-1,성북구,176337,172264
S121,보문,,,서울특별시 성북구 보문동1가 127-6,성북구,64760,59682
S122,신설동,,,서울특별시 동대문구 신설동 132-259,동대문구,135900,131229
D004,신사,127.02,37.5159,서울특별시 강남구 도산대로 지하 102,강남구,195744,206039
D005,논현,127.0213,37.5111,서울특별시 강남구 학동로 지하 102,강남구,120654,126887
D006,신논현,127.0245,37.5044,서울특별시 강남구 봉은사로 지하 102,강남구,210887,207657
D007,강남,127.0278789,37.49738544,서울특별시 강남구 강남대로 지하 396,강남구,536964,520814
S401,샛강,37.517166735,126.9294470255,서울시 영등포구 여의도동 56,영등포구,54785,58574
S402,대방,37.5127290626,126.9254075633,서울시 영등포구 신길동 1375-1,영등포구,94098,96468
S403,서울지방병무청,37.5127831228,126.9254075095,서울시 동작구 대방동 466-41,동작구,16756,18072
S404,보라매,37.5005172417,126.9204946271,서울시 동작구 대방동 466-49,동작구,72362,71294
S405,보라매공원,37.4954362146,126.9181450664,서울시 동작구 신대방동 722,동작구,12598,13735
S406,보라매병원,37.4929643234,126.9235557665,서울시 동작구 신대방동 395-61,동작구,39943,41778
S407,당곡,37.4902007518,126.9275557778,서울시 관악구 봉천동 985,관악구,26266,24795
S408,신림,37.4848545239,126.9296300621,서울시 관악구 신림동 1467-10,관악구,409664,397659
S409,서원,37.4782206011,126.9330845148,서울시 관악구 신림동 808-407,관악구,19971,17010
S410,서울대벤처타운,37.4719861064,126.9339605378,서울시 관악구 신림동 110-10,관악구,50004,47651
S411,관악산,37.4690905389,126.9450695623,서울시 관악구 신림동 211,관악구,24269,25315
0125,제기동,,,서울특별시 동대문구 왕산로 지하93(제기동),동대문구,119081,121393
0127,동묘앞,,,서울특별시 종로구 종로 359(숭인동),종로구,130177,134056
0128,동대문,,,서울특별시 종로구 종로 지하302(창신동),종로구,213615,212250
0129,종로5가,,,서울특별시 종로구 종로 지하216(종로5가),종로구,157650,158723
0130,종로3가,,,서울특별시 종로구 종로 지하129(종로3가),종로구,354736,350634
0131,종각,,,서울특별시 종로구 종로 지하55(종로1가),종로구,246204,240007
0132,시청,,,서울특별시 중구 세종대로 지하101(정동),중구,325795,319725
0202,을지로입구,,,서울특별시 중구 을지로 지하42(을지로1가),중구,285367,289861
0203,을지로3가,,,서울특별시 중구 을지로 지하106(을지로3가),중구,226823,227010
0204,을지로4가,,,서울특별시 중구 을지로 지하178(을지로4가),중구,129628,131638
0206,신당,,,서울특별시 중구 퇴계로 지하431-1(신당동),중구,156728,161692
0207,상왕십리,,,서울특별시 성동구 왕십리로 지하374(하왕십리동),성동구,97489,93964
0209,한양대,,,서울특별시 성동구 왕십리로 206(행당동),성동구,85715,95009
0210,뚝섬,,,서울특별시 성동구 아차산로 18(성수동1가),성동구,155043,164606
0211,성수,,,서울특별시 성동구 아차산로 100(성수동2가),성동구,244755,272594
0212,건대입구,,,서울특별시 광진구 아차산로 243(화양동),광진구,347365,371445
0215,잠실나루,,,서울특별시 송파구 오금로 20(신천동),송파구,99522,97776
0217,잠실새내,,,서울특별시 송파구 올림픽로 지하140(잠실동),송파구,152582,154487
0218,종합운동장,,,서울특별시 송파구 올림픽로 지하23(잠실동),송파구,148238,163920
0220,선릉,,,서울특별시 강남구 테헤란로 지하340(삼성동),강남구,444483,447196
0221,역삼,,,서울특별시 강남구 테헤란로 지하156(역삼동),강남구,322590,363800
0224,서초,,,서울특별시 서초구 서초대로 지하233(서초동),서초구,149887,142717
0225,방배,,,서울특별시 서초구 방배로 지하80(방배동),서초구,126033,129362
0226,사당,,,서울특별시 동작구 남부순환로 지하2089(사당동),동작구,469587,474187
0229,봉천,,,서울특별시 관악구 남부순환로 지하1721(봉천동),관악구,163920,151631
0231,신대방,,,서울특별시 동작구 대림로 2(신대방동),동작구,176323,169917
0232,구로디지털단지,,,서울특별시 구로구 도림천로 477(구로동),구로구,389130,386127
0234,신도림,,,서울특별시 구로구 새말로 지하 117-21(신도림동),구로구,368578,372359
0235,문래,,,서울특별시 영등포구 당산로 지하28(문래동3가),영등포구,143539,148000
0236,영등포구청,,,서울특별시 영등포구 당산로 지하121(당산동3가),영등포구,170932,176267
0237,당산,,,서울특별시 영등포구 당산로 229(당산동6가),영등포구,258596,281266
0238,합정,,,서울특별시 마포구 양화로 지하55(서교동),마포구,321681,340728
0241,이대,,,서울특별시 마포구 신촌로 지하180(염리동),마포구,115710,124428
0242,아현,,,서울특별시 마포구 신촌로 지하270(아현동),마포구,73786,70101
2111,용답,,,서울특별시 성동구 용답길 86(용답동),성동구,21429,21476
2112,신답,,,서울특별시 성동구 천호대로 232(용답동),성동구,11641,12631
2341,도림천,,,서울특별시 구로구 경인로67길 160(신도림동),구로구,9385,10193
2342,양천구청,,,서울특별시 양천구 목동로3길 지하33(신정동),양천구,47493,48607
2343,신정네거리,,,서울특별시 양천구 중앙로 지하261(신정동),양천구,71538,72303
