"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3090000","CDFF4220002022000005","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 4~5층 (방학동)","01334","CGV 방학 4관","20220420155747","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF4220002022000007","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 4~5층 (방학동)","01334","CGV 방학 6관","20220420155948","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF4220002022000006","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 4~5층 (방학동)","01334","CGV 방학 5관","20220420155837","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF4220002022000001","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 6~7층 (방학동)","01334","CGV 방학 4DX관","20220420155310","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF4220002022000002","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 6~7층 (방학동)","01334","CGV 방학 2관","20220420155257","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3090000","CDFF4220002022000003","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 4~5층 (방학동)","01334","CGV 방학 7관","20220420160042","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3140000","CDFF4220002000000002","20000224","","03","폐업","03","폐업","20030404","","","","","","158860","서울특별시 양천구 신정동 988-5번지 ","","","킴스시네마(2관)","20030407145701","I","2018-08-31 23:59:59.0","","187670.416423662    ","447030.560396528    ","영화상영관","영화상영관","3","","","","3","","","","","","","","","","","","","","","","","","","","","영화관","","20000224",""
"3090000","CDFF4220002022000004","20220420","","01","영업/정상","13","영업중","","","","","02-526-8859","","","서울특별시 도봉구 방학동 707-6","서울특별시 도봉구 도봉로 684 6~7층 (방학동)","01334","CGV 방학 3관","20220420155243","I","2021-12-03 22:02:00.0","","203799.86528368","462533.430210964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002015000005","20151112","","01","영업/정상","13","영업중","","","","","02-935-0930","","","서울특별시 노원구 상계동 1132-35 3층~9층","서울특별시 노원구 동일로 1660 3층~9층 (상계동 롯데시네마 수락산)","01625","롯데시네마 노원수락산역 제5관","20220418103651","U","2021-12-03 22:00:00.0","","204839.977931148","463796.381217133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3100000","CDFF4220002015000004","20151112","","01","영업/정상","13","영업중","","","","","02-935-0930","","","서울특별시 노원구 상계동 1132-35 3층~9층","서울특별시 노원구 동일로 1660 3층~9층 (상계동 롯데시네마 수락산)","01625","롯데시네마 노원수락산역 제4관","20220418103605","U","2021-12-03 22:00:00.0","","204839.977931148","463796.381217133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
