"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"서울특별시  (1100000000)","9,443,722","4,450,389","          2.12","4,578,459","4,865,263","          0.94"
"서울특별시 종로구 (1111000000)","141,861","72,758","          1.95","68,601","73,260","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,700","5,150","          2.27","5,367","6,333","          0.85"
"서울특별시 종로구 사직동(1111053000)","9,128","4,591","          1.99","4,045","5,083","          0.80"
"서울특별시 종로구 삼청동(1111054000)","2,343","1,157","          2.03","1,113","1,230","          0.90"
"서울특별시 종로구 부암동(1111055000)","9,283","4,170","          2.23","4,411","4,872","          0.91"
"서울특별시 종로구 평창동(1111056000)","17,726","7,302","          2.43","8,266","9,460","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,038","3,025","          2.66","3,721","4,317","          0.86"
"서울특별시 종로구 교남동(1111058000)","9,861","4,398","          2.24","4,543","5,318","          0.85"
"서울특별시 종로구 가회동(1111060000)","3,957","1,939","          2.04","1,832","2,125","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,738","4,924","          1.37","4,082","2,656","          1.54"
"서울특별시 종로구 종로5.6가동(1111063000)","5,240","3,493","          1.50","2,771","2,469","          1.12"
"서울특별시 종로구 이화동(1111064000)","7,109","4,301","          1.65","3,356","3,753","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,242","9,272","          1.75","7,816","8,426","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,673","2,726","          1.71","2,489","2,184","          1.14"
"서울특별시 종로구 창신제2동(1111068000)","7,726","3,998","          1.93","3,969","3,757","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,458","2,780","          2.32","3,181","3,277","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,793","2,970","          1.95","2,784","3,009","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,846","6,562","          1.50","4,855","4,991","          0.97"
"서울특별시 중구 (1114000000)","120,648","63,206","          1.91","58,643","62,005","          0.95"
"서울특별시 중구 소공동(1114052000)","2,244","1,299","          1.73","1,088","1,156","          0.94"
"서울특별시 중구 회현동(1114054000)","4,556","2,555","          1.78","2,349","2,207","          1.06"
"서울특별시 중구 명동(1114055000)","2,807","1,499","          1.87","1,235","1,572","          0.79"
"서울특별시 중구 필동(1114057000)","3,982","2,458","          1.62","2,078","1,904","          1.09"
"서울특별시 중구 장충동(1114058000)","4,584","2,843","          1.61","2,412","2,172","          1.11"
"서울특별시 중구 광희동(1114059000)","5,196","3,404","          1.53","2,608","2,588","          1.01"
"서울특별시 중구 을지로동(1114060500)","1,658","1,294","          1.28","1,018","640","          1.59"
"서울특별시 중구 신당동(1114061500)","7,654","4,816","          1.59","3,761","3,893","          0.97"
"서울특별시 중구 다산동(1114062500)","13,492","6,809","          1.98","6,533","6,959","          0.94"
"서울특별시 중구 약수동(1114063500)","16,412","7,789","          2.11","7,587","8,825","          0.86"
"서울특별시 중구 청구동(1114064500)","13,256","6,214","          2.13","6,285","6,971","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,161","5,317","          1.91","4,920","5,241","          0.94"
"서울특별시 중구 동화동(1114066500)","10,048","4,005","          2.51","4,830","5,218","          0.93"
"서울특별시 중구 황학동(1114067000)","12,558","7,165","          1.75","5,960","6,598","          0.90"
"서울특별시 중구 중림동(1114068000)","12,040","5,739","          2.10","5,979","6,061","          0.99"
"서울특별시 용산구 (1117000000)","219,102","109,936","          1.99","105,303","113,799","          0.93"
